%
1	swear
dickface 	1
dickfuck 	1
dickfucker 	1
dickhead 	1
dickhole 	1
dickjuice 	1
dickmilk 	1
dickmonger 	1
dicks 	1
dickslap 	1
dicksucker 	1
dicksucking 	1
dicktickler 	1
dickwad 	1
dickweasel 	1
dickweed 	1
dickwod 	1
dike 	1
dildo 	1
dipshit 	1
dipshits	1
doochbag 	1
dookie 	1
douche	1
douche 	1
douchebag	1
douchebag 	1
douchewaffle 	1
dumass 	1
DUMB	1
dumb ass 	1
dumbass	1
dumbass 	1
dumbasses	1
dumbest	1
dumbfuck 	1
dumbshit 	1
dumshit 	1
dyke 	1
evil	1
f-16s	1
fag	1
fag 	1
fagbag 	1
fagfucker 	1
faggit 	1
faggot 	1
faggotcock 	1
fagtard 	1
fatass 	1
fellatio 	1
feltch 	1
flamer 	1
fool	1
fools	1
frak	1
freaking	1
freaks	1
fu	1
FUCK	1
fuck 	1
fuckass 	1
fuckbag 	1
fuckboy 	1
fuckbrain 	1
fuckbutt 	1
fuckbutter 	1
fucked	1
fucked 	1
fuckedup-ness	1
fucker	1
fucker 	1
fuckers	1
fuckersucker 	1
fuckface 	1
fuckhead 	1
fuckhole 	1
fuckin	1
fuckin 	1
fucking	1
fucking 	1
fucknut 	1
fucknutt 	1
fuckoff 	1
fucks	1
fucks 	1
fuckstick 	1
fucktard 	1
fucktart 	1
fuckup 	1
fuckwad 	1
fuckwit 	1
fuckwitt 	1
fudgepacker 	1
gayass 	1
gaybob 	1
gaydo 	1
gayfuck 	1
gayfuckist 	1
gaylord 	1
gaytard 	1
gaywad 	1
goddamn 	1
goddamnit 	1
gooch 	1
gook 	1
gringo 	1
GTFO	1
guido 	1
handjob 	1
heck	1
heeb 	1
hell	1
hell 	1
ho 	1
hoe 	1
hole	1
holes	1
homo 	1
homodumbshit 	1
honkey 	1
humping 	1
idiot	1
idiotic	1
idiots	1
iffrig	1
jackass 	1
jagoff 	1
jap 	1
jerk off 	1
jerkass 	1
jigaboo 	1
jizz 	1
jungle bunny 	1
junglebunny 	1
kike 	1
kooch 	1
kootch 	1
kraut 	1
kunt 	1
kyke 	1
lameass 	1
lardass 	1
lesbo 	1
liar	1
liars	1
LIBTARD	1
loser	1
LOSERS	1
lunatic	1
lunatics	1
maniac	1
maniacs	1
mcfagget 	1
mick 	1
minge 	1
mofo	1
monsters	1
mothafucka 	1
mothafuckin 	1
motherfucker	1
mother-fucker	1
motherfucker 	1
motherfuckers	1
motherfucking 	1
muff 	1
muffdiver 	1
munging 	1
negro 	1
nigaboo 	1
NIGGA	1
nigga 	1
niggas	1
nigger 	1
niggers 	1
niglet 	1
nut	1
nut sack 	1
nuts	1
nutsack 	1
nutter	1
nutters	1
paki 	1
panooch 	1
pecker 	1
peckerhead 	1
penis 	1
penisbanger 	1
penisfucker 	1
penispuffer 	1
pfff	1
pimp	1
pimping	1
piss	1
PISSED	1
pissflaps 	1
polesmoker 	1
pollock 	1
poon 	1
poonani 	1
poonany 	1
poontang 	1
porch monkey 	1
porchmonkey 	1
pothead	1
prick	1
prick 	1
pricks	1
psycho	1
psychopath	1
psychopaths	1
psychos	1
punanny 	1
punta 	1
pussies	1
pussies 	1
pussy	1
pussy 	1
pussylicking 	1
puto 	1
queef 	1
queer 	1
queerbait 	1
queerhole 	1
rat	1
renob 	1
rimjob 	1
ruski 	1
sand nigger 	1
sandnigger 	1
schlong 	1
scrote 	1
scum	1
scumbag	1
scumbags	1
SHIT	1
shit 	1
shitass 	1
shitbag 	1
shitbagger 	1
shitbrains 	1
shitbreath 	1
shitcanned 	1
shitcunt 	1
shitdick 	1
shitface 	1
shitfaced 	1
shithead 	1
shithole 	1
shithouse 	1
shits	1
shitspitter 	1
shitstain 	1
shitter 	1
shittiest 	1
shitting 	1
shitty	1
shitty 	1
shiz 	1
shiznit 	1
silly	1
skank 	1
skeet 	1
skullfuck 	1
sleuths	1
slut 	1
slutbag 	1
smeg 	1
SMFH	1
snatch 	1
spic 	1
spick 	1
splooge 	1
spook 	1
STFU	1
stupid	1
stupidstan	1
suckass 	1
sucker	1
tard 	1
thugs	1
thundercunt 	1
tit 	1
titfuck 	1
tits 	1
tittyfuck 	1
twat 	1
twatlips 	1
twats 	1
twatwaffle 	1
unclefucker	1
vag 	1
vagina 	1
vajayjay 	1
va-j-j	1
vjayjay 	1
wank 	1
wankjob 	1
wetback 	1
whore 	1
whorebag 	1
whoreface 	1
wierdo	1
witch	1
wop 	1
WTF	1
WTH	1
